Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
0C5F1011-747F-4774-94DD-2C97D5A56A66;11 470;15 250;16 827;14 091;11 802;15 703;17 775;19 906;23 968;23 073;23 126;28 612
B8B3F572-E34F-11E8-9731-005056A27BA9;4 745;6 150;9 035;11 105;8 651;13 521;16 097;17 936;18 290;17 218;28 145;36 641
44222C5C-3171-11E7-8B42-005056A225F3;6 468;10 696;11 916;11 365;9 711;11 527;12 697;12 829;15 383;16 502;18 201;20 091
AABD8086-AD4C-11E5-8E25-00505602071E;7 597;6 825;6 967;8 733;8 127;9 030;8 296;10 890;12 429;16 529;20 690;25 890
FEDABBFD-2909-4AFA-9E14-1DA533580BDE;98;270;427;479;557;540;504;514;129 774;6 285;788;1 047
AC4BD855-2AE0-11E9-99D9-C69417C43C93;9 326;5 250;7 508;10 306;10 173;9 404;9 766;12 598;11 043;12 621;16 682;17 372
8ABEB8CD-EA2C-11E7-9EA6-005056A225F3;4 711;10 994;12 919;9 784;10 810;5 997;6 062;10 469;10 587;13 311;10 229;13 849
0E09E6E2-6252-11E7-93EC-005056A225F3;6 987;9 988;11 411;11 579;8 123;8 554;8 147;10 010;10 693;11 219;9 910;12 427
120F9A2D-103E-4906-8B2C-D2CF738231B2;3 396;4 054;4 570;7 921;8 019;9 981;8 922;11 025;10 997;12 491;16 598;20 914
C8D737A6-1DD3-11E6-9D6C-005056A2384C;4 993;5 892;6 804;7 563;6 393;8 457;8 463;11 269;13 462;13 137;17 330;14 336
478ABB8D-995D-4D54-92D8-7BAE70D4C8A8;1 073;1 505;3 434;6 074;5 522;12 138;21 692;18 120;12 373;12 929;9 002;9 524
D9ECD348-7B3E-11E7-B91E-005056A225F3;5 563;7 777;6 600;7 368;6 592;8 283;8 916;10 145;13 572;11 135;12 358;12 419
57C67C21-F483-11E8-9731-005056A27BA9;2 298;2 226;3 916;6 244;5 640;7 075;9 051;12 799;17 554;12 242;13 268;15 535
96597DFB-6816-11E5-B1B7-00505602071E;4 529;4 799;6 489;6 692;6 103;6 964;6 003;8 438;10 546;13 970;16 331;14 132
9DE54775-D474-11E4-A937-005056020188;4 730;6 532;6 960;7 820;5 963;7 410;6 693;8 759;8 883;9 333;9 794;13 415
